"Selon la stratégie proposée pour Colruyt, quelle est l'erreur à ne pas commettre pour un ciblage efficace ?",Il faut arrêter de viser “Colruyt” en bloc et plutôt choisir une porte d’entrée spécifique.
Quels sont les quatre angles qui correspondent aux habitudes de travail de Colruyt ?,"Partenariats durables, ancrage local, approche “pas à pas”, et logique win-win-win."
Quelle est considérée comme la meilleure 'porte d'entrée' pour collaborer avec Colruyt sur un projet social ?,La Colruyt Group Academy.
Pourquoi la Colruyt Group Academy est-elle une porte d'entrée idéale ?,"Car c'est déjà leur outil dédié à l'apprentissage et à la connexion, utilisant des formats comme les ateliers et les webinaires."
Quel type de projet pilote est suggéré pour une approche via la Colruyt Group Academy ?,"Un pilote “Ateliers budget & droits” incluant un format atelier, un webinaire et un kit FALC."
Quel est l'objectif principal pour Colruyt en s'associant à un projet via sa Fondation/RSE ?,"Obtenir un impact social démontrable, cohérent avec leur politique RSE et intégrable dans leur reporting."
"Pour une approche via la Fondation Colruyt, sur quels trois aspects le projet doit-il insister ?","Une expérimentation mesurable (KPIs), la transparence et la possibilité de duplication."
"Quelle est la troisième 'porte d'entrée', plus complexe, pour approcher Colruyt ?",La voie B2B / RH / Employeur.
"Le 'produit d'approche' minimal pour Colruyt se compose d'une page, d'un lien et de _____.",3 chiffres clés
Quels sont les trois chiffres clés à présenter dans la proposition pilote à Colruyt ?,"Le nombre de participants visés, le coût par participant et un indicateur d'impact."
Quelle est la première étape de la méthode d'approche opérationnelle de Colruyt ?,"Trouver un point d’accroche en s'alignant explicitement sur leurs formats existants (ateliers, ancrage local)."
"Un projet pilote 'Colruyt-compatible' doit être 'petit, propre et _____'.",mesurable
Quelle demande simple doit-on formuler à Colruyt au lieu d'un 'financement général' ?,"Un “sponsoring pilote” incluant un lieu, un relais de communication et une petite enveloppe financière."
Quel est le premier piège à éviter lors d'une proposition à Colruyt ?,"Proposer un projet trop gros, trop tôt, car ils préfèrent les tests maîtrisés."
Pourquoi une proposition sans métriques (KPIs) est-elle vouée à l'échec chez Colruyt ?,"Car sans KPIs, ils ne peuvent pas justifier l'investissement en interne."
Quel élément crucial doit être défini pour éviter que la proposition ne bloque ?,"Un rôle clair pour chaque partie : “vous apportez X, nous apportons Y”."
Quel est l'angle gagnant pour un projet sur la précarité et le budget avec Colruyt ?,"Reprendre leur logique d' 'aider concrètement' et la transposer aux droits, au budget et à l'autonomie."
Quelle est la première étape cruciale avant de passer à l'action citoyenne ?,Comprendre l'organisation du système politique et les droits civiques dont on dispose.
Combien de signatures une pétition fédérale doit-elle recueillir en Belgique pour garantir une audition au Parlement ?,Au moins 25 000 signatures réparties entre les Régions.
Quelle innovation participative le Parlement bruxellois a-t-il mise en place ?,Des commissions délibératives mixtes composées de citoyens tirés au sort (75%) et de députés (25%).
"À l'échelle européenne, quel outil permet aux citoyens de proposer une loi à la Commission ?",L'Initiative citoyenne européenne (ICE).
La première étape indispensable du parcours citoyen est résumée par la devise : '_____ pour _____'.,savoir pour pouvoir
"Au niveau micro, quelle est la première mesure de 'prévention électorale' à adopter ?",S'informer de façon critique et se méfier de la désinformation.
Comment les actions quotidiennes (ex: consommation) peuvent-elles renforcer un engagement politique ?,Elles donnent du poids aux revendications en montrant une cohérence entre les paroles et les actes.
Quel est le principal bénéfice d'un dialogue politique constructif avec son entourage ?,Il stimule une réflexion citoyenne collective et peut démystifier les fausses rumeurs.
Le passage du niveau micro au niveau méso de l'engagement citoyen implique de passer du 'je' au '_____'.,nous
Comment un collectif citoyen peut-il influencer les projets d'aménagement de sa commune ?,En participant aux enquêtes publiques et aux réunions de concertation.
"À Bruxelles, combien de signatures de résidents sont nécessaires pour obliger le Parlement régional à tenir une audition ?",1 000 signatures.
Quel est le risque principal à éviter lorsqu'on mène une action collective au niveau local (méso) ?,"La polarisation locale, en ne s'adressant qu'aux convaincus et en se coupant du reste de la population."
Le niveau macro de l'engagement consiste à étendre son influence au-delà du cercle local pour toucher _____.,l'ensemble de la société
Définition : Plaidoyer politique,L'art d'influencer les décideurs publics et l'opinion sur des enjeux d'intérêt général.
Le lobbying citoyen consiste à entrer en contact direct avec _____ pour tenter de les convaincre.,les responsables publics
Pourquoi la période électorale est-elle un moment stratégique pour le plaidoyer citoyen ?,Car les candidats sont particulièrement attentifs à l'opinion publique et plus enclins à prendre des engagements.
