"Selon la loi coordonnée du 14 juillet 1994, quel est le critère économique (§1) pour l'invalidité INAMI ?",Une réduction de la capacité de gain d'au moins 66%.
"Dans le cadre de l'invalidité INAMI, le critère médical (§2) permet une reprise de travail adapté si la réduction de capacité reste d'au moins _____ sur le plan médical.",50%
"Depuis la circulaire O.A. n° 2019/281, quand une personne en invalidité doit-elle au plus tard déclarer une reprise d'activité ?",Au plus tard le 1er jour ouvrable précédant la reprise.
Quel est le plafond annuel de revenus professionnels nets imposables pour une personne en invalidité exerçant une activité d'indépendant en 2025 ?,"23.081,09 EUR."
Pendant combien de temps une personne invalide reprenant une activité d'indépendant ne subit-elle aucune réduction de ses indemnités ?,Pendant les 6 premiers mois.
De quel pourcentage les indemnités d'invalidité sont-elles réduites du 7ème mois à la fin de la 3ème année pour un indépendant sous le plafond ?,De 10%.
Quel est le plafond de défraiement forfaitaire annuel pour un volontaire en Belgique en 2025 ?,"1.692,51 EUR."
"En 2025, quel est le plafond annuel de revenus bruts imposables pour qu'une personne isolée en invalidité conserve son statut BIM ?","27.550,86 EUR."
Qu'a statué l'arrêt de la Cour du travail de Bruxelles du 12 mars 2009 concernant un administrateur d'ASBL en invalidité ?,"Que l'INAMI peut mettre fin à l'invalidité si l'administrateur exerce une activité réelle de fait, même sans rémunération directe."
Quelle est la conséquence de la perception de jetons de présence pour une personne en invalidité ?,"Ils constituent une rémunération imposable et peuvent obliger à s'affilier comme indépendant, impactant l'invalidité."
Quelle est la durée maximale de validité d'un ruling fiscal accordé par le Service des Décisions Anticipées (SDA) ?,"5 ans, renouvelable par avenant."
Un ruling fiscal obtenu auprès du SPF Finances lie-t-il l'INAMI ou l'ONSS ?,"Non, la situation sociale doit être clarifiée séparément avec la mutualité."
Que stipule le moratoire en éducation permanente en FWB pour les années 2026-2027 ?,Aucune nouvelle demande de reconnaissance n'est possible.
"Selon le décret du 17 juillet 2003, quel axe est obligatoire pour qu'une organisation soit reconnue comme un ""mouvement"" d'éducation permanente ?",L'axe 1 : participation et éducation citoyenne.
"Quelle est la différence fondamentale entre une ""association"" et un ""mouvement"" en éducation permanente FWB ?","Un mouvement doit couvrir au moins 3 axes (dont l'axe 1) et obtenir plus de 200 points, contrairement à une association (1-2 axes, max 200 points)."
"Quel est le montant de la subvention ""emploi permanent"" par ETP en éducation permanente FWB pour 2025 ?","73.395,95 EUR."
"Quel type de licence, créée par Dmytri Kleiner, autorise l'usage commercial uniquement pour les coopératives et collectifs où les travailleurs possèdent les moyens de production ?",La Peer Production License (PPL).
Quelle structure permet de tester un projet d'économie sociale comme une coopérative d'activité tout en conservant ses droits sociaux ?,Une coopérative d'activité comme Job Yourself ou Smart.
Quels sont les deux organismes d'accompagnement gratuit en économie sociale cités pour la phase préparatoire d'un projet à Bruxelles et en Wallonie ?,SAW-B (Wallonie/Bruxelles) et CoopCity (Bruxelles).
"Quel est l'objectif fondamental de la réforme nationale des soins de santé mentale ""Psy 107"" en Belgique ?",Déplacer le centre de gravité des soins des hôpitaux vers des structures de proximité et des équipes mobiles.
Nommez les 4 antennes géographiques de coordination des soins en santé mentale à Bruxelles.,"REZONE, NORWEST, HERMESplus, et Bruxelles-Est."
Quel est le rôle de la Plateforme Bruxelloise pour la Santé Mentale (PBSM) ?,Elle est le pivot de la concertation entre les différents acteurs de la santé mentale à Bruxelles.
Quel est le nom du répertoire numérique géré par la PBSM qui centralise l'offre de soins en santé mentale à Bruxelles ?,santementale.brussels.
Quelle fédération représente politiquement les Services de Santé Mentale (SSM) agréés par la COCOF à Bruxelles ?,La Ligue Bruxelloise pour la Santé Mentale (LBSM).
Quel réseau orchestre la prise en charge en santé mentale des jeunes de 0 à 18 ans à Bruxelles ?,Le réseau Bru-Stars.
Que sont les MADO (Maisons de l'Adolescent) à Bruxelles ?,"Des lieux d'accueil bas seuil, anonymes et gratuits pour les jeunes de 11 à 22-25 ans."
Quelle est la caractéristique principale d'un Service de Santé Mentale (SSM) par rapport à un cabinet privé ?,"Il propose une approche multidisciplinaire (psychiatre, psychologue, assistant social) avec des tarifs indexés sur les revenus."
"Quel service mobile de crise en santé mentale, rattaché à TANDEMplus, couvre le centre, l'ouest et le sud de Bruxelles ?",L'équipe mobile 2a (Crise) de TANDEMplus.
Quelle équipe mobile bruxelloise est spécifiquement dédiée aux seniors de plus de 65 ans ?,L'équipe Caligo.
Quelle association bruxelloise offre un soutien psychosocial et des groupes de parole pour les proches de personnes souffrant de troubles psychiques ?,Similes Bruxelles.
Qu'est-ce qu'un pair-aidant dans le secteur de la santé mentale ?,Un professionnel qui a lui-même une expérience vécue de troubles psychiatriques et qui utilise ce vécu pour aider les autres.
"Dans le cadre de la convention INAMI pour les soins psychologiques, quel est le coût d'une séance individuelle pour un adulte bénéficiant de l'intervention majorée (BIM) ?",4 euros (après la première séance qui est gratuite).
"Quel est le numéro de téléphone gratuit et anonyme du Centre de Prévention du Suicide en Belgique, disponible 24h/24 ?",0800 32 123.
"Quel est le nombre total de personnes hors emploi en Belgique (incapacité, chômage, RIS) selon les chiffres consolidés de 2023-2024 ?",Environ 978 000 personnes.
"Selon la Cour des Comptes (2024), quelle est l'estimation du coût annuel total pour l'État belge des dépenses liées à l'incapacité de travail, au chômage et au RIS ?",Entre 21 et 24 milliards d'euros.
"Le ""piège institutionnel"" décrit le phénomène où une personne hors emploi qui tente une activité, même bénévole, risque de _____.","perdre ses droits sociaux (allocations, statut BIM, etc.)"
"Le projet ""Arpentages Citoyens pour l'Interculturalité"" (ACI) est présenté comme une _____ pour le modèle de l'Économie Contributive Provisionnée.",preuve de concept
Quelle est l'innovation de la méthode de l'Arpentage Hybride proposée dans le projet ACI ?,"Elle étend la lecture collective sur 7 jours, avec une appropriation individuelle asynchrone avant la reconstitution en groupe."
Concept : Économie Contributive Provisionnée (ECP),"Un modèle où la valeur d'une contribution citoyenne est reconnue, provisionnée dans un fonds, et versée de manière différée pour ne pas pénaliser les droits sociaux."
Quelle est la garantie principale du modèle ECP pour une personne recevant des allocations sociales ?,"La garantie de ne pas perdre ses droits, car le revenu de la contribution n'est pas ""encaissé"" immédiatement."
Quel risque juridique majeur le modèle ECP doit-il anticiper concernant la fiscalité des revenus provisionnés ?,"Le risque que le provisionnement soit considéré comme un revenu imposable l'année de son attribution, et non de son encaissement."
Quelle est l'action requise pour sécuriser le traitement fiscal des revenus provisionnés dans le modèle ECP ?,Demander un ruling fiscal au Service des Décisions Anticipées (SDA) du SPF Finances.
Quelle est la première phase de la feuille de route du projet ECP pour 2025 ?,"La phase de DÉMONSTRATION, avec le lancement de projets pilotes comme ACI."
En quoi consiste la phase 3 (2027-2029) de la feuille de route ECP ?,"L'INSTITUTIONNALISATION, visant à négocier un projet-pilote officiel et à obtenir un cadre légal pérenne."
Quelle est la vision de la Monnaie Contributive Citoyenne (MCC) ?,Celle d'une économie où la production de valeur sociale est formellement reconnue et rémunérée.
"Comment le modèle ECP/MCC désamorce-t-il le ""piège à l'emploi"" ?","En provisionnant la contre-valeur financière des contributions dans un fonds, la rendant non-imposable jusqu'à sa liquidation ultérieure."
"La gouvernance du modèle MCC est assurée par un consortium regroupant des ASBL, des mutuelles et des _____.",syndicats
Quel est le rôle de la Théorie du Donut de Kate Raworth dans le modèle MCC ?,"Elle sert de boussole éthique pour définir ce qui constitue une ""valeur sociale"", c'est-à-dire une activité qui respecte le plancher social et le plafond écologique."
La phase 1 du déploiement de la MCC (2025-2027) est dédiée à la structuration et à la _____.,démonstration
Qu'est-ce que la réforme du cumul ARR-travail permet depuis 2024 pour les personnes handicapées ?,Elle offre des plafonds d'exonération d'impôt plus élevés sur les revenus du travail pendant les 2 premières années de reprise d'activité.
"L'Agence de Renseignement Citoyenne (ARC) est proposée comme un _____ qui connecte les services de santé mentale existants à Bruxelles, plutôt que d'en créer un nouveau.",méta-service
