"Selon le texte, comment la ludification du parcours de soin transforme-t-elle le rôle de l'usager ?",Elle le fait passer d'un rôle passif à un rôle d'acteur engagé.
Quel type de dispositif innovant est mentionné comme exemple de ludification du parcours de soin ?,Les ARG (Alternate Reality Games).
"Quel concept est utilisé pour rendre le parcours de soin moins clinique en appliquant une ""distorsion pédagogique consentie"" ?","Le ""Réalisme Magique""."
"Dans le cadre du ""Réalisme Magique"", un règlement administratif peut être transformé en _____.",grimoire
"Quel est l'objectif de la ""distorsion pédagogique consentie"" dans la ludification du parcours de soin ?","Créer une ""lucidité augmentée"" pour aider l'usager à comprendre des systèmes opaques par le biais de symboles."
Quel type de mission consiste à analyser son environnement ou à cartographier les acteurs de santé de son quartier ?,Les missions d'exploration.
Quel type de mission implique de contacter un acteur de soin ou de coopérer avec d'autres usagers ?,Les missions d'interaction.
Produire un prototype ou une proposition d'amélioration de service correspond à quel type de mission ?,Les missions de transformation.
"Inspiré par le concept de CivicCoin, quel type de gamification est proposé pour valoriser l'effort de l'usager ?",La gamification citoyenne.
Citez deux exemples de paliers de progression dans le système de reconnaissance inspiré du CivicCoin.,"""Citoyen Éveillé"", ""Actif"" ou ""Engagé""."
"À quoi servent les ""badges narratifs"" non-transférables dans le système de reconnaissance ?","Ils servent à valider des rôles émergents comme ""analyste"", ""médiateur"" ou ""éclaireur""."
"Que sont les ""Lieux de Liens"" dans le contexte de la ludification du parcours de soin ?","Des points d'ancrage physiques où la ludification se déploie, comme des centres de jour ou des maisons de quartier."
Quelle analogie est utilisée pour comparer la ludification du parcours de soin à une notice de montage ?,La transformation d'une notice de montage aride en une carte au trésor.
Quel numéro d'appel gratuit et anonyme est disponible 24h/24 pour toute difficulté morale ou sociale en Région bruxelloise ?,Télé-Accueil (107).
Quel est le coût de la toute première consultation chez un psychologue conventionné dans le cadre du dispositif PsyBru ?,Elle est gratuite.
"Pour les personnes de plus de 24 ans, quel est le coût d'une séance PsyBru (hors statut BIM) après la première consultation gratuite ?",11 €.
Quelle équipe mobile intervient sur tout le territoire bruxellois pour les personnes de plus de 65 ans en détresse psychologique ?,L'équipe mobile Caligo.
"Dans le parcours gamifié pour un administratif en burn out, quel est le rôle narratif de l'usager ?","""Architecte du Lien en maintenance""."
Comment les absences imprévisibles sont-elles réinterprétées comme une mécanique de jeu dans le parcours gamifié ?,"Elles deviennent des ""Cycles de régénération d'énergie""."
Quel est le paradoxe majeur de l'écosystème de la santé mentale en Région de Bruxelles-Capitale ?,Il est à la fois d'une densité exceptionnelle mais sa fragmentation le rend difficilement navigable.
"Selon les chiffres consolidés, combien de personnes en Belgique sont maintenues dans une inactivité contrainte par le système ?",978 000 personnes.
"Parmi la population en inactivité contrainte, quelle est la part des personnes en incapacité de travail de plus d'un an (source INAMI 2023) ?",526 507 personnes.
Quel est le coût sociétal direct annuel estimé de l'inactivité contrainte en Belgique ?,Entre 21 et 24 milliards d'euros.
Définition : Le Piège Institutionnel,"Un mécanisme où le système pénalise activement toute tentative de contribution (même bénévole) d'une personne hors emploi, pouvant entraîner la perte de ses droits sociaux."
"Quelle phrase résume le ""piège institutionnel"" de manière terrible de lucidité ?","""On les indemnise pour ne rien faire, on les pénalise s'ils font quelque chose."""
Quel est le nom du dispositif proposé pour contrer la fragmentation de l'écosystème de la santé mentale à Bruxelles ?,L'Agence de Renseignement Citoyenne.
"Dans le projet de l'Agence, les ""Lieux de Lien"" sont décrits comme des _____ humains.",piliers
"Dans la méthodologie du projet, quel type de mission vise à se réapproprier le réel et développer la lecture systémique ?",Les missions d'analyse.
Exemple de mission de transformation dans le projet de l'Agence : Rédiger un guide en langage clair sur les démarches pour obtenir une _____.,aide alimentaire
"Comment les missions progressives du projet sont-elles conçues pour contrer le ""piège institutionnel"" ?","Elles offrent un cadre sécurisé pour ""tenter une activité"" sans risquer les sanctions administratives."
"Citez deux des quatre bénéfices directs pour les participants au projet ""L'Agence de Renseignement Citoyenne"".","Rompre l'isolement, développer des compétences, restaurer le pouvoir d'agir, valoriser l'expertise du vécu."
Quelle est la première phase du plan d'action pilote du projet ?,Phase 1 - Cartographie et Co-construction (Mois 1-3).
Quel est l'objectif de la Phase 2 (Développement et Déploiement) du projet pilote ?,"Mettre en ligne une preuve de concept fonctionnelle, stable et sécurisée."
Pendant quelle phase du projet pilote l'animation de la communauté et l'amélioration agile de l'outil sont-elles prioritaires ?,Phase 3 - Animation et Itération (Mois 7-10).
Quel est le livrable clé de la Phase 4 (Évaluation et Pérennisation) du projet pilote ?,Un rapport d'impact quantitatif et qualitatif irréfutable.
Quelle est la proposition de valeur du projet pour les mutuelles ?,Un sas de ré-activation sociale qui réduit les coûts à long terme liés à l'incapacité de travail.
Pourquoi les syndicats sont-ils des partenaires stratégiques pour le projet ?,Le projet offre un terrain d'expérimentation pour redéfinir la valeur en dehors du salariat traditionnel et reconnaître de nouvelles formes de contribution.
Quelle est la proposition de valeur du projet pour les agences régionales comme Actiris ?,"Une activité formatrice qui renforce le ""CV citoyen"" et facilite une future réinsertion professionnelle durable."
"Quelles deux associations, représentant les proches et les pairs-aidants, sont considérées comme des alliés cruciaux pour la co-conception du projet ?",Similes (proches) et En Route (pair-aidance).
Quelle est la première étape de la feuille de route stratégique vers l'institutionnalisation (2025) ?,DÉMONSTRATION : Le projet pilote pour prouver la faisabilité et l'impact du modèle.
"Que vise l'étape ""COALITION"" (2026) de la feuille de route stratégique ?",Créer un consortium institutionnel formel et publier un livre blanc avec des propositions législatives.
Quel est l'objectif final de la feuille de route stratégique (2027-2029) ?,L'INSTITUTIONNALISATION : Négocier un cadre légal pérenne reconnaissant le modèle de contribution citoyenne.
"Quel est le budget demandé pour la phase pilote de 12 mois du projet ""L'Agence de Renseignement Citoyenne"" ?",24 000 euros.
"La conclusion du projet oppose le ""Statu Quo"" à une autre option. Laquelle ?",L'Action.
Le coût de l'inaction (le statu quo) est estimé à un million d'euros par _____.,heure
Quel service est spécifiquement dédié aux étudiants de l'enseignement supérieur à Bruxelles ?,Le service PsyCampus (ULB).
"Les _____ (MADO) proposent un accueil anonyme, gratuit et sans rendez-vous pour les jeunes de 11 à 25 ans.",Maisons de l'Adolescent
Quel numéro propose jusqu'à 4 séances gratuites pour les travailleurs indépendants francophones en difficulté ?,Le 0800 300 25.
"Quelle est la fonction d'un ""Informaticien Public"" ?",Aider les personnes à devenir plus autonomes avec les technologies pour lutter contre la fracture numérique.
"Dans le parcours gamifié personnel, la maîtrise des ""Sortilèges Législatifs"" correspond à quelle mission ?",La Mission de Sécurisation (Le Coffre-Fort de Droits).
Quel article de l'INAMI concerne les règles de la reprise de travail adapté ?,L'article 100.
Quel mécanisme fiscal gratuit permet de sécuriser des revenus futurs sans perdre ses droits actuels en invalidité ?,"Le ""Ruling Fiscal"" (décision anticipée du SPF Finances)."
Quelle est l'analogie utilisée pour décrire le parcours de soin gamifié de la personne en burn-out ?,Un jeu vidéo en monde ouvert (Open World) où l'on dissipe le brouillard de guerre.
"À Bruxelles, où peut-on trouver un groupe de soutien PsyBru spécifique intitulé ""Mieux gérer le stress et prévenir le burnout dans les métiers du soin et du social"" ?",À Schaerbeek.
Quel est le nom de la structure mentionnée qui se spécialise dans la prise en charge globale du burn-out à Ixelles ?,La Citadelle Unimind.
"Quel est le principal avantage des ""Lieux de Liens"" pour une personne dont l'état impose des absences imprévisibles ?","On peut y entrer sans rendez-vous, sans inscription et sans motif."
Les Services de Santé Mentale (SSM) proposent des suivis multidisciplinaires avec des tarifs adaptés _____.,aux revenus
